12-08 13:23:28.758 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.48519027
12-08 13:23:28.778 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.21285337
12-08 13:23:28.778 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.07485515
12-08 13:23:28.778 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.32473361
12-08 13:23:28.778 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.56616545
12-08 13:23:28.796 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.25312328
12-08 13:23:28.796 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: -0.10317928
12-08 13:23:28.796 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.16142139
12-08 13:23:28.797 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.5392282
12-08 13:23:28.818 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.14104374
12-08 13:23:28.818 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: -0.034625232
12-08 13:23:28.818 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: 0.078922436
12-08 13:23:28.818 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.47560364
12-08 13:23:28.838 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.118802965
12-08 13:23:28.838 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: -0.08563158
12-08 13:23:28.838 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: 0.1582318
12-08 13:23:28.838 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.3881692
12-08 13:23:28.857 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.11843965
12-08 13:23:28.857 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: -0.1594933
12-08 13:23:28.857 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: 0.12856174
12-08 13:23:28.857 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.39707127
12-08 13:23:28.877 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.1047444
12-08 13:23:28.877 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: -0.19125962
12-08 13:23:28.877 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: 0.12901837
12-08 13:23:28.877 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.40336463
12-08 13:23:28.897 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.12824744
12-08 13:23:28.897 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: -0.201107
12-08 13:23:28.898 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: 0.11700344
12-08 13:23:28.898 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.34866774
12-08 13:23:28.918 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.14703026
12-08 13:23:28.918 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.041447774
12-08 13:23:28.918 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: 0.108207986
12-08 13:23:28.918 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.15120998
12-08 13:23:28.939 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.11217751
12-08 13:23:28.939 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: -0.04225919
12-08 13:23:28.939 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: 0.15277565
12-08 13:23:28.939 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.13825192
12-08 13:23:28.959 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.075391896
12-08 13:23:28.959 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: -0.13114908
12-08 13:23:28.959 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: 0.30747002
12-08 13:23:28.959 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.06632984
12-08 13:23:28.979 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.046154834
12-08 13:23:28.979 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: -0.33668405
12-08 13:23:28.979 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: 0.38174784
12-08 13:23:28.979 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.12828702
12-08 13:23:28.998 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.112983316
12-08 13:23:28.998 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: -0.36173123
12-08 13:23:28.998 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: 0.2997102
12-08 13:23:28.998 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.12310439
12-08 13:23:29.019 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.07748144
12-08 13:23:29.019 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: -0.26896158
12-08 13:23:29.019 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: 0.21632913
