12-08 13:20:28.769 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: 0.78461814
12-08 13:20:28.786 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.31563252
12-08 13:20:28.786 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: -2.0257683
12-08 13:20:28.786 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: 3.1258118
12-08 13:20:28.786 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: 0.56546885
12-08 13:20:28.806 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.39558396
12-08 13:20:28.806 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: -1.9278228
12-08 13:20:28.806 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: 3.2900653
12-08 13:20:28.806 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: 0.40425903
12-08 13:20:28.826 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.31382635
12-08 13:20:28.826 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: -1.910535
12-08 13:20:28.827 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: 3.0881448
12-08 13:20:28.827 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: 0.4999577
12-08 13:20:28.847 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.30222908
12-08 13:20:28.847 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: -1.8546512
12-08 13:20:28.847 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: 2.8996048
12-08 13:20:28.847 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: 0.5818174
12-08 13:20:28.869 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.38373578
12-08 13:20:28.869 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: -1.8177563
12-08 13:20:28.870 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: 3.1434224
12-08 13:20:28.870 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: 0.5521219
12-08 13:20:28.887 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.35745448
12-08 13:20:28.887 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: -1.6291695
12-08 13:20:28.887 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: 2.611279
12-08 13:20:28.887 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: 0.601821
12-08 13:20:28.906 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.3825293
12-08 13:20:28.907 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: -1.3220986
12-08 13:20:28.907 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: 2.6457796
