12-08 13:21:31.214 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.25340176
12-08 13:21:31.214 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.88029164
12-08 13:21:31.214 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -1.4408689
12-08 13:21:31.214 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: 0.18102536
12-08 13:21:31.234 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.19706026
12-08 13:21:31.234 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.8533977
12-08 13:21:31.234 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -1.4842681
12-08 13:21:31.235 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.061287925
12-08 13:21:31.256 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.14015952
12-08 13:21:31.256 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.5980326
12-08 13:21:31.256 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.72563124
